,user,date,location
1,StormTours,2019-11-26 00:31:16,Tornado Alley
2,EWNAlerts,2019-11-25 23:53:42,Australia
4,GetMyGist,2019-11-25 22:55:10,Canada
5,EarlyAlertInc,2019-11-25 22:20:07,United States
6,FLHealthCitrus,2019-11-25 21:42:42,"Citrus County, FL"
7,EWNAlerts,2019-11-25 20:54:50,Australia
9,1055WDUV,2019-11-25 19:12:32,"Tampa Bay, FL"
10,StormTours,2019-11-25 19:01:16,Tornado Alley
11,cbemergency,2019-11-25 18:41:31,"NSW, QLD, VIC, WA"
13,StormchaserUKEU,2019-11-25 18:18:37,"(London, U.K) / Europe/ World"
14,nwfdailynews,2019-11-25 16:25:07,"Fort Walton Beach, FL"
16,notepage,2019-11-25 14:20:04,"Boston, MA"
17,StormchaserUKEU,2019-11-25 13:54:13,"(London, U.K) / Europe/ World"
18,BedfordAWS,2019-11-25 13:14:52,"Bedford, Perth (WA)"
21,StormTours,2019-11-25 08:31:16,Tornado Alley
22,VOSTeurope,2019-11-25 08:15:17,Europe
25,cbemergency,2019-11-25 01:57:50,"NSW, QLD, VIC, WA"
26,TNCommerceInsur,2019-11-24 23:00:24,"Nashville, TN"
27,StormchaserUKEU,2019-11-24 22:07:50,"(London, U.K) / Europe/ World"
28,RaveMSafety,2019-11-24 19:05:04,Boston
29,StormchaserUKEU,2019-11-24 15:44:16,"(London, U.K) / Europe/ World"
32,StormchaserUKEU,2019-11-24 13:24:03,"(London, U.K) / Europe/ World"
34,StormchaserUKEU,2019-11-24 12:15:51,"(London, U.K) / Europe/ World"
36,VOSTeurope,2019-11-24 09:47:54,Europe
38,BedfordAWS,2019-11-24 08:22:01,"Bedford, Perth (WA)"
39,StormchaserUKEU,2019-11-24 06:55:16,"(London, U.K) / Europe/ World"
42,bestweather_pt,2019-11-23 23:08:53,"Lisbon, Portugal"
44,Goatys_News,2019-11-23 21:30:55,Devon UK
45,immortalisblog,2019-11-23 21:22:30,Hungary
46,COStormChasers,2019-11-23 20:51:29,"Colorado Springs, CO"
50,PaulBlight6,2019-11-23 14:13:02,"Bournemouth, England"
52,StormchaserUKEU,2019-11-23 12:42:27,"(London, U.K) / Europe/ World"
53,StormchaserUKEU,2019-11-23 10:59:16,"(London, U.K) / Europe/ World"
54,VOSTeurope,2019-11-23 10:21:53,Europe
55,VOSTeurope,2019-11-23 10:10:14,Europe
56,VOSTeurope,2019-11-23 10:07:58,Europe
58,StormTours,2019-11-23 06:31:16,Tornado Alley
59,QLDincidents,2019-11-23 05:47:14,Brisbane QLD
60,QLDOnline,2019-11-23 05:47:08,"Queensland, Australia"
61,SEQincidents,2019-11-23 05:47:03,"Brisbane, Australia"
62,ForceThirteenAU,2019-11-23 05:46:57,Australia
63,cbemergency,2019-11-23 05:45:56,"NSW, QLD, VIC, WA"
66,StormTours,2019-11-23 01:01:15,Tornado Alley
68,StormTours,2019-11-22 23:31:15,Tornado Alley
69,StormchaserUKEU,2019-11-22 20:34:47,"(London, U.K) / Europe/ World"
75,StormTours,2019-11-22 11:01:16,Tornado Alley
77,StormTours,2019-11-22 09:01:16,Tornado Alley
78,VOSTeurope,2019-11-22 08:40:55,Europe
79,StormTours,2019-11-22 08:31:16,Tornado Alley
82,Fromgirltogirl,2019-11-22 00:16:25,"Washington, DC"
83,Fromgirltogirl,2019-11-22 00:08:48,"Washington, DC"
85,CarbonCreditCap,2019-11-21 18:22:54,"New York, NY"
86,StormchaserUKEU,2019-11-21 18:02:17,"(London, U.K) / Europe/ World"
88,jaqbennett,2019-11-21 16:03:38,"San Diego, CA"
92,StormTours,2019-11-21 09:31:16,Tornado Alley
94,markclayburne,2019-11-21 00:38:24,"Quad Cities, IA/IL"
95,StormTours,2019-11-21 00:01:16,Tornado Alley
96,EWNAlerts,2019-11-20 23:17:52,Australia
97,aodhanx,2019-11-20 22:56:26,"Benicia, CA"
98,peacockreports,2019-11-20 22:13:22,"England, United Kingdom"
100,StormchaserUKEU,2019-11-20 20:44:10,"(London, U.K) / Europe/ World"
101,EWNAlerts,2019-11-20 19:54:12,Australia
103,cbemergency,2019-11-20 18:17:19,"NSW, QLD, VIC, WA"
104,BaronWeather,2019-11-20 16:41:32,"Huntsville, AL"
106,raiznerslania,2019-11-20 15:10:06,"Houston, TX"
107,KES_KENT,2019-11-20 11:26:50,Kent
110,EWNAlerts,2019-11-20 06:42:58,Australia
112,StormTours,2019-11-20 04:31:16,Tornado Alley
113,StormTours,2019-11-20 03:31:16,Tornado Alley
115,StormTours,2019-11-20 00:01:16,Tornado Alley
116,EWNAlerts,2019-11-19 23:55:18,Australia
117,EWNAlerts,2019-11-19 23:48:10,Australia
119,RJtheFireDog,2019-11-19 22:05:11,LA and New York City
120,najeebarqureshi,2019-11-19 20:49:17,Rawalpindi
121,RJtheFireDog,2019-11-19 20:01:04,LA and New York City
123,StormchaserUKEU,2019-11-19 18:37:49,"(London, U.K) / Europe/ World"
126,EarlyAlertInc,2019-11-19 16:10:16,United States
128,StormchaserUKEU,2019-11-19 14:02:26,"(London, U.K) / Europe/ World"
130,StormchaserUKEU,2019-11-19 09:58:22,"(London, U.K) / Europe/ World"
131,EWNAlerts,2019-11-19 07:51:16,Australia
133,StormchaserUKEU,2019-11-19 07:34:53,"(London, U.K) / Europe/ World"
134,StormTours,2019-11-19 07:01:15,Tornado Alley
135,NatureWithDru,2019-11-19 06:26:06,the multiverse
136,WPHendriks,2019-11-19 06:11:11,Malta (EU) - prev.NL/ZA/COL
137,StormTours,2019-11-19 06:01:15,Tornado Alley
139,indiatvnews,2019-11-19 01:30:46,India
141,windyforecast,2019-11-18 23:14:00,Prague
142,ZipBridge,2019-11-18 22:05:01,"New Hope, PA"
145,StormchaserUKEU,2019-11-18 19:30:36,"(London, U.K) / Europe/ World"
148,JaredGuyer,2019-11-18 18:24:02,"Norman, OK"
149,PremiereSpeaker,2019-11-18 18:07:01,"Nashville, TN"
150,RJtheFireDog,2019-11-18 18:01:37,LA and New York City
152,ViralHog,2019-11-18 16:38:22,"Bozeman, MT"
154,StormTours,2019-11-18 14:31:15,Tornado Alley
155,CommunityAd,2019-11-18 13:44:43,"Margate, England"
156,StormchaserUKEU,2019-11-18 11:30:26,"(London, U.K) / Europe/ World"
157,VOSTeurope,2019-11-18 11:10:05,Europe
159,StormTours,2019-11-18 08:31:15,Tornado Alley
161,diaryofhermind,2019-11-18 07:13:08,"Dallas, TX"
162,KJWatersAuthor,2019-11-18 03:24:14,http://www.kjwaters.com/
164,uamuzik,2019-11-18 01:05:05,Wherever there is net!
166,StormTours,2019-11-17 20:31:16,Tornado Alley
168,StormchaserUKEU,2019-11-17 17:45:46,"(London, U.K) / Europe/ World"
169,ForceThirteen,2019-11-17 15:45:00,"Manchester, United Kingdom"
170,StormchaserUKEU,2019-11-17 13:35:38,"(London, U.K) / Europe/ World"
171,StormTours,2019-11-17 12:01:16,Tornado Alley
172,StormchaserUKEU,2019-11-17 11:05:47,"(London, U.K) / Europe/ World"
173,StormchaserUKEU,2019-11-17 11:02:14,"(London, U.K) / Europe/ World"
174,StormTours,2019-11-17 09:31:16,Tornado Alley
175,StormchaserUKEU,2019-11-17 07:01:53,"(London, U.K) / Europe/ World"
176,StormchaserUKEU,2019-11-17 06:45:25,"(London, U.K) / Europe/ World"
178,tracijoscarlett,2019-11-17 05:06:53,"Gold Coast, Queensland"
180,ForceThirteen,2019-11-17 04:09:33,"Manchester, United Kingdom"
181,EWNAlerts,2019-11-17 04:02:37,Australia
184,StormchaserUKEU,2019-11-16 21:23:55,"(London, U.K) / Europe/ World"
